Index,Country Name,Total Area km^2,World share %,ISO3,EEZ Total km^2,total_area_km2,protected_area_km2,pct_protected,continent
182,Martinique,1128,0.00%,MTQ,,,1117.5627418422,,America
183,"China, Hong Kong SAR",1104,0.00%,HKG,,,540.601,,Asia
184,Sao Tome and Principe,964,0.00%,STP,261688.0,262652.0,479.65369999999996,0.18,Africa
184,Sao Tome and Principe,964,0.00%,STP,69068.0,70032.0,479.65369999999996,0.68,Africa
185,Turks and Caicos Islands,948,0.00%,TCA,,,1303.9299999999998,,America
186,Kiribati,811,0.00%,KIR,6880440.0,6881251.0,398205.19,5.79,Oceania
187,Bahrain,765,0.00%,BHR,15032.0,15797.0,1712.2393000000002,10.84,Asia
188,Dominica,751,0.00%,DMA,57104.0,57855.0,461.7714575966,0.8,America
189,Tonga,747,0.00%,TON,1332104.0,1332851.0,195.4892801775,0.01,Oceania
190,Singapore,710,0.00%,SGP,1350.0,2060.0,33.47,1.62,Asia
191,Micronesia,702,0.00%,FSM,6015436.0,6016138.0,18.88,0.0,Oceania
192,Saint Lucia,616,0.00%,LCA,30826.0,31442.0,180.5617819056,0.57,America
193,Isle of Man,572,0.00%,IMN,,,464.581885,,Europe
194,Guam,549,0.00%,GUM,,,55.4772323237,,Oceania
195,Andorra,468,0.00%,AND,,,94.92999999999999,,Europe
196,Northern Mariana Islands,464,0.00%,MNP,,,699764.7362021817,,Oceania
197,Palau,459,0.00%,PLW,1232862.0,1233321.0,504037.2639782572,40.87,Oceania
198,Seychelles,452,0.00%,SYC,2683048.0,2683500.0,444115.3062146656,16.55,Africa
199,Curaçao,444,0.00%,CUW,,,65.325,,America
200,Antigua and Barbuda,442,0.00%,ATG,223136.0,223578.0,663.4768870836999,0.3,America
201,Barbados,430,0.00%,BRB,370148.0,370578.0,19.024501284399996,0.01,America
202,Saint Helena,394,0.00%,SHN,,,1583049.54055,,Africa
203,Saint Vincent and the Grenadines,389,0.00%,VCT,72488.0,72877.0,10590.914594574799,14.53,America
204,Mayotte,374,0.00%,MYT,,,68459.9789533161,,Africa
205,United States Virgin Islands,347,0.00%,VIR,,,475.64171690759997,,America
206,Grenada,344,0.00%,GRD,51142.0,51486.0,56.2262683486,0.11,America
207,Caribbean Netherlands,328,0.00%,BES,,,25291.65,,America
208,Malta,316,0.00%,MLT,105846.0,106162.0,5756.7732277236,5.42,Europe
209,Maldives,300,0.00%,MDV,1847666.0,1847966.0,756.1664,0.04,Asia
210,Cayman Islands,264,0.00%,CYM,,,113.4713177185,,America
211,Saint Kitts and Nevis,261,0.00%,KNA,19004.0,19265.0,43.1212,0.22,America
212,Niue,260,0.00%,NIU,,,127059.2819485259,,Oceania
213,Saint Pierre and Miquelon,242,0.00%,SPM,,,14.037575092300001,,America
214,Cook Islands,236,0.00%,COK,,,2278076.8000000003,,Oceania
215,American Samoa,199,0.00%,ASM,,,104784.3210537998,,Oceania
216,Marshall Islands,181,0.00%,MHL,4004440.0,4004621.0,7406.2831788004005,0.18,Oceania
217,Aruba,180,0.00%,ABW,,,156.23,,America
218,Liechtenstein,160,0.00%,LIE,,,72.7982020203,,Europe
219,British Virgin Islands,151,0.00%,VGB,,,19.017045528,,America
220,Wallis and Futuna Islands,142,0.00%,WLF,,,,,Oceania
221,Montserrat,102,0.00%,MSR,,,11.16,,America
222,Anguilla,91,0.00%,AIA,,,81.660179,,America
223,San Marino,61,0.00%,SMR,,,,,Europe
224,Bermuda,54,0.00%,BMU,,,1.576460664,,America
225,Saint Martin,53,0.00%,MAF,,,38.8582519147,,America
226,Sint Maarten,34,0.00%,SXM,,,82.28,,America
227,"China, Macao SAR",30,0.00%,MAC,,,,,Asia
228,Tuvalu,26,0.00%,TUV,1506266.0,1506292.0,215.7771242099,0.01,Oceania
229,Nauru,21,0.00%,NRU,618522.0,618543.0,,,Oceania
230,Saint Barthélemy,21,0.00%,BLM,,,12.2502269948,,America
231,Tokelau,12,0.00%,TKL,,,10.45,,Oceania
232,Gibraltar,6,0.00%,GIB,,,,,Europe
233,Monaco,2,0.00%,MCO,576.0,578.0,0.24000000000000002,0.04,Europe
234,Holy See,0,0.00%,VAT,,,,,Europe
